1,4,5
1,5,4
1,6,3
1,11,2
1,12,1
1,122,5
1,30,5
1,35,5
2,2,5
2,30,4
2,27,3
2,23,1
2,29,2
3,343,4
3,344,3
3,345,5
3,346,1
4,482,5
4,483,5
4,484,5
4,485,3
4,486,3
4,487,3
4,488,2
4,489,1
4,490,2
4,491,3
4,492,4
4,493,5
4,494,1
4,495,4
4,496,5
5,400,3
5,423,1
5,342,4
5,45,5
5,241,1
5,366,4
5,70,3
5,121,3
5,145,2
5,146,4
5,303,4
1,285,2
1,329,4
1,69,3
5,200,3
5,201,3
5,267,2
6,353,1
6,333,3
6,202,4
6,199,1
6,195,2
6,192,5
6,184,1
6,180,4
6,176,3
6,100,1
6,90,5
6,318,3
6,348,2
7,16,1
7,408,4
7,422,5
7,336,2
7,292,3
7,327,5
7,332,4
7,266,2
7,263,3
7,193,2
7,192,4
7,184,5
7,90,3
7,59,2
7,307,4
7,395,2
7,396,3
7,397,5
7,399,2
7,398,3
7,446,4
7,455,2
7,458,1
8,349,3
8,348,1
8,271,4
8,243,5
8,207,1
8,221,2
8,205,3
8,206,5
8,19,1
8,136,3
8,164,4
8,402,2
8,305,5
8,427,1
8,472,3
8,268,5
8,241,4
8,242,1
2,275,2
2,276,3
2,277,5
2,278,2
2,279,3
9,4,1
9,2,4
9,122,3
9,343,1
9,6,2
9,344,5
9,333,4
9,200,3
9,11,1
9,491,2
9,400,4
9,45,3
9,12,1
9,16,5
9,336,2
9,180,3
9,90,4
9,489,1
9,408,2
9,184,5
9,59,3
9,69,1
9,490,2
9,327,3
9,19,1
10,482,5
10,487,2
10,6,1
10,11,4
10,35,3
10,327,2
10,344,4
10,30,3
10,487,2
10,12,2
10,482,3
10,27,3
10,2,5
10,345,3
10,23,4
10,122,1
10,29,2
10,343,3
10,400,5
10,70,4
10,45,2
10,366,4
10,69,1
10,423,3
10,145,4
10,241,5
10,285,4
10,342,3
10,336,2
10,193,3
11,1,5
11,2,5
11,3,5
11,4,5
11,5,5
11,6,5
11,7,5
11,8,5
11,9,5
11,10,5
11,11,5
11,12,5
11,13,5
11,14,5
11,15,5
11,16,5
11,17,5
11,18,5
11,19,5
11,20,5
11,21,5
11,22,5
11,23,5
11,24,5
11,25,5
